"party","taxes"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
