position	college_grad
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	yes
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
support	no
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
